issueid,dekaid,year,category,issueno,lawids,fact,decision,isact,isexternalelements,isinternalelement,isintent,isneglect,iscause,isjustify,isexcuse,isguilty,isattempt,isattemptimpossible
11,263/2531,2531,LB,1,CC-288-00,จำเลยที่ 3 และที่ 4 กับพวกต้องการไล่ผีปอบออกจากร่างของผู้ตายได้ใช้ไม้ไผ่ผ่าซีกตีผู้ตายล้มลง แล้วใช้ด้ามมีดตีศีรษะผู้ตาย ด้ามมีดทำด้วยเหล็กขนาดเส้นผ่าศูนย์กลาง 1 นิ้ว ยาว 8.5 นิ้ว <discr>จำเลยย่อมเล็งเห็นผลได้ว่าถ้าตีศีรษะผู้ตายโดยแรงและตีนาน ๆ ย่อมทำให้ผู้ตายถึงแก่ความตายได้</discr> จำเลยตีผู้ตายนานถึง 2 ชั่วโมง ผู้ตายมีรอยฟกช้ำที่หน้าผาก โหนกแก้ม ศีรษะบวมช้ำแบบศีรษะน่วม <discr>ความตายของผู้ตายจึงเป็นผลโดยตรงจากการทำร้ายของจำเลยกับพวก</discr>,จำเลยที่ 3 และที่ 4 มีความผิดฐานฆ่าผู้อื่นโดยเจตนา,1,1,1,1,-1,1,0,0,1,0,-1
12,263/2531,2531,LB,2,CC-289(5)-00,จำเลยที่ 3 และที่ 4 กับพวกต้องการไล่ผีปอบออกจากร่างของผู้ตายได้ใช้ไม้ไผ่ผ่าซีกตีผู้ตายล้มลง แล้วใช้ด้ามมีดตีศีรษะผู้ตาย ด้ามมีดทำด้วยเหล็กขนาดเส้นผ่าศูนย์กลาง 1 นิ้ว ยาว 8.5 นิ้ว <discr>จำเลยย่อมเล็งเห็นผลได้ว่าถ้าตีศีรษะผู้ตายโดยแรงและตีนาน ๆ ย่อมทำให้ผู้ตายถึงแก่ความตายได้</discr> จำเลยตีผู้ตายนานถึง 2 ชั่วโมง ผู้ตายมีรอยฟกช้ำที่หน้าผาก โหนกแก้ม ศีรษะบวมช้ำแบบศีรษะน่วม <discr>ความตายของผู้ตายจึงเป็นผลโดยตรงจากการทำร้ายของจำเลยกับพวก</discr> เมื่อการกระทำดังกล่าวเป็นการไล่ผีปอบตามความเชื่อและตามประเพณีท้องถิ่นที่ปฏิบัติกันมา แม้การทำร้ายใช้เวลานานถึง 2 ชั่วโมงจนผู้ตายถึงแก่ความตาย <discr>ก็เป็นเรื่องของการไล่ผีปอบ ไม่ได้เป็นการกระทำที่แสดงถึงความโหดร้ายทารุณเป็นพิเศษ</discr>,จึงถือไม่ได้ว่าเป็นการฆ่าผู้อื่นโดยกระทำทารุณโหดร้ายตามประมวลกฎหมายอาญา มาตรา 289 (5) กรณีนี้เป็นเหตุในลักษณะคดีศาลฎีกามีอำนาจพิพากษาไปถึงจำเลยที่ 2 ซึ่งถอนฎีกาไปแล้วด้วย,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
13,2567/2544,2544,LB,1,CC-288-00,จำเลยใช้อาวุธปืนซึ่งเป็นอาวุธร้ายแรงยิงไปที่กลุ่มคนหมู่มากและอยู่ในที่จำกัด <discr>ย่อมถือได้ว่า จำเลยมีเจตนาฆ่าโดยเล็งเห็นผล</discr> เมื่อมีผู้ถูกกระสุนปืนทั้งถึงแก่ความตายและไม่ตาย,จำเลยจึงมีความผิดฐานฆ่าและพยายามฆ่า,1,1,1,1,-1,1,0,0,1,0,-1
14,2567/2544,2544,LB,2,"CC-288-00,CC-080-00",จำเลยใช้อาวุธปืนซึ่งเป็นอาวุธร้ายแรงยิงไปที่กลุ่มคนหมู่มากและอยู่ในที่จำกัด <discr>ย่อมถือได้ว่า จำเลยมีเจตนาฆ่าโดยเล็งเห็นผล</discr> เมื่อมีผู้ถูกกระสุนปืนทั้งถึงแก่ความตายและไม่ตาย,จำเลยจึงมีความผิดฐานฆ่าและพยายามฆ่า,1,1,1,1,-1,1,0,0,1,1,0
15,10139/2557,2557,P,1,"CC-340-01,CC-001(1)-00,CC-059P2-00",จำเลยทั้งสี่เอาทรัพย์ของผู้เสียหายไปโดยมีเจตนาเพื่อจะตรวจดูว่าทรัพย์ที่เอาไปนั้นเป็นของจำเลยทั้งสี่ที่ถูกคนร้ายลักไปหรือไม่เท่านั้น ,"มิใช่เป็นการเอาไปเพื่อแสวงหาประโยชน์ที่มิควรได้โดยชอบด้วยกฎหมายสำหรับตนเองหรือผู้อื่น จึงไม่เป็นการกระทำ ""โดยทุจริต"" ตามบทนิยามความหมายของคำว่า ""โดยทุจริต"" ใน ป.อ. มาตรา 1 (1) การกระทำของจำเลยทั้งสี่จึงไม่ครบองค์ประกอบความผิดฐานลักทรัพย์เพราะขาดเจตนาพิเศษเรื่องการกระทำโดยทุจริตดังกล่าว ซึ่งย่อมส่งผลทำให้การกระทำของจำเลยทั้งสี่ไม่ครบองค์ประกอบความผิดฐานปล้นทรัพย์ตามที่โจทก์ฟ้องไปด้วย  และการกระทำของจำเลยทั้งสี่เช่นนี้หาใช่ว่าจำเลยทั้งสี่กระทำโดยไม่รู้ข้อเท็จจริงอันเป็นองค์ประกอบของความผิด ซึ่งถือว่าจำเลยทั้งสี่ไม่มีเจตนากระทำความผิดตาม ป.อ. มาตรา 59 วรรคสอง ประกอบวรรคสาม ดังคำพิพากษาของศาลชั้นต้นไม่",1,0,-1,-1,-1,-1,-1,-1,0,-1,-1
16,16412/2555,2555,LB,1,"CC-288-00,CC-080-00,CC-059P5-00",วันเวลาเกิดเหตุจำเลยพาผู้เสียหายที่ 2 ซึ่งเป็นหญิงคนรักนั่งซ้อนท้ายรถจักรยานยนต์ ระหว่างทางได้เกิดอุบัติเหตุรถจักรยานยนต์ที่จำเลยขับล้มลงทำให้ผู้เสียหายที่ 2 ตกจากรถจักรยานยนต์ได้รับอันตรายสาหัสนอนหมดสติในพงหญ้าข้างทาง แล้วจำเลยหลบหนีไม่ให้ความช่วยเหลือ ทิ้งให้ผู้เสียหายที่ 2 นอนหมดสติในที่เกิดเหตุ เป็นเวลานานถึง 8 วัน และไม่แจ้งให้ผู้เสียหายที่ 1 ซึ่งเป็นมารดาทราบ จนมีผู้ไปพบผู้เสียหายที่ 2 <discr>จำเลยย่อมเล็งเห็นผลได้ว่า การงดเว้นไม่ให้ความช่วยเหลือ ผู้เสียหายที่ 2 อาจถึงแก่ความตายได้</discr> เมื่อผู้เสียหายที่ 2 ไม่ถึงแก่ความตาย,จำเลยจึงมีความผิดฐานพยายามฆ่าผู้อื่นตาม ป.อ. มาตรา 288 ประกอบมาตรา 80 และมาตรา 59 วรรคท้าย,1,1,1,1,-1,1,0,0,1,1,0
17,983/2508,2508,LB,1,CC-291-00,จำเลยที่ 1 ทำหน้าที่แทนนายสถานี มีอำนาจใช้ จำเลยที่ 2 ซึ่งเป็นคนการสับเปลี่ยนหัวประแจ เมื่อใช้แล้วจำเลยที่ 1 ไม่ได้กระทำอะไรเกี่ยวข้องกับหัวประแจนั้นเลย จำเลยที่ 2 เปลี่ยนแล้วไม่สับกลับคืนรางเดิมเป็นเหตุให้รถชนกันจนมีคนตาย เช่นนี้ การที่จำเลยที่1 ไม่ไปตรวจหัวประแจก่อนที่รถจะมาถึง <discr>ก็เป็นเพียงละเว้นไม่ปฏิบัติตามข้อบังคับ เป็นคนละเรื่องกับการกระทำโดยประมาท ผลโดยตรงที่ทำให้รถชนกัน อยู่ที่การเปลี่ยนหัวประแจแล้วไม่สับกลับ ซึ่งเป็นการกระทำของจำเลยที่ 2 ผู้เดียว</discr>,จำเลยที่ 1 ไม่มีความผิดตามมาตรา 291,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
18,12114/2556,2556,LB,1,CC-291-00,การที่จำเลยนำรถยนต์บรรทุกคันเกิดเหตุไปซ่อมรอยรั่วซึมของถังน้ำมัน โดยจำเลยไม่ได้แจ้งให้นายจ้างทราบก่อน กลับแจ้งผู้ตายโดยตรงให้ซ่อมถังน้ำมันของรถยนต์บรรทุกน้ำมัน อันเป็นการไม่ปฏิบัติตามข้อกำหนดในการทำงานที่มีขึ้นเพื่อความปลอดภัย และจำเลยไม่ได้บอกผู้ตายว่ารถยนต์บรรทุกคันเกิดเหตุบรรทุกน้ำมันเบนซินมาด้วย ทำให้ผู้ตายไม่ทราบข้อเท็จจริงจึงไม่ได้ปฏิบัติตามขั้นตอนในการทำงาน เป็นเหตุให้รถยนต์บรรทุกน้ำมันเกิดระเบิดขึ้นและผู้ตายถึงแก่ความตาย <discr>นับเป็นผลโดยตรงจากความประมาทของจำเลยฝ่ายเดียวที่งดเว้นการที่จักต้องกระทำเพื่อป้องกันผลนั้น หาได้เกิดจากความประมาทของผู้ตายด้วยไม่</discr>,จำเลยจึงมีความผิดฐานกระทำโดยประมาทเป็นเหตุให้ผู้อื่นถึงแก่ความตาย,1,1,1,-1,1,1,0,0,1,-1,-1
19,2210/2544,2544,LB,1,CC-291-00,แม้ข้อเท็จจริงจะฟังได้ว่าจุดที่จำเลยจอดรถและเกิดเหตุชนกันอยู่ในไหล่ทางด้านซ้ายของถนนในลักษณะที่ไม่กีดขวางการจราจรแล้วก็ตาม แต่การที่จำเลยจอดรถในเวลามืดค่ำโดยไม่ได้เปิดไฟหรือใช้แสงสว่างตามที่กำหนดในกฎกระทรวงเพื่อเป็นสัญญาณให้ผู้ขับขี่มองเห็นรถที่จอดอยู่ จนเป็นเหตุให้ผู้ตายขับรถจักรยานยนต์พุ่งเข้าชนท้ายรถคันที่จำเลยจอดทำให้ผู้ตายถึงแก่ความตาย <discr>อันเป็นผลจากความประมาทของจำเลย</discr>ไม่ว่าจะฟังว่าผู้ตายมีส่วนประมาทอยู่ด้วยก็ตาม<discr>ก็ต้องถือว่าเหตุที่ผู้ตายถึงแก่ความตายเกิดเพราะความประมาทของจำเลยด้วยจึงเป็นผลโดยตรงที่เกิดจากความประมาทของจำเลยที่งดเว้นการที่จักต้องกระทำเพื่อป้องกันผลนั้น หาใช่ผลที่เกิดขึ้นโดยตรงจากการขับรถของจำเลยไม่</discr>,"จำเลยจึงไม่มีความผิดฐานขับรถโดยประมาทตามพระราชบัญญัติจราจรทางบกฯ มาตรา 43(4),157 คงผิดฐานกระทำโดยประมาทเป็นเหตุให้ผู้อื่นถึงแก่ความตายตามประมวลกฎหมายอาญา มาตรา 291",1,1,1,-1,1,1,0,0,1,-1,-1
20,1909/2516,2516,LB,1,CC-291-00,จำเลยขับรถยนต์บรรทุกเสาไฟฟ้าโดยใช้ล้อพ่วง เมื่อล้อรถพ่วงหลุดทำให้เสาตกลงมาขวางถนน จนกระทั่งค่ำแล้วจำเลยก็ไม่ได้จัดให้มีโคมไฟหรือเครื่องสัญญาณอย่างอื่น เพื่อให้ผู้ใช้ถนนเห็นเสาที่ขวางถนนอยู่นั้น เป็นเหตุให้รถที่แล่นมาชนเสา มีคนตายและบาดเจ็บ,ถือได้ว่าจำเลยกระทำโดยประมาท และผลเสียหายเกิดขึ้นจากการที่จำเลยงดเว้นการที่จักต้องกระทำเพื่อป้องกันผลนั้นได้แต่หากระทำไม่ จำเลยจึงมีความผิด,1,1,1,-1,1,1,0,0,1,-1,-1
21,1909/2516,2516,LB,2,CC-300-00,จำเลยขับรถยนต์บรรทุกเสาไฟฟ้าโดยใช้ล้อพ่วง เมื่อล้อรถพ่วงหลุดทำให้เสาตกลงมาขวางถนน จนกระทั่งค่ำแล้วจำเลยก็ไม่ได้จัดให้มีโคมไฟหรือเครื่องสัญญาณอย่างอื่น เพื่อให้ผู้ใช้ถนนเห็นเสาที่ขวางถนนอยู่นั้น เป็นเหตุให้รถที่แล่นมาชนเสา มีคนตายและบาดเจ็บ,ถือได้ว่าจำเลยกระทำโดยประมาท และผลเสียหายเกิดขึ้นจากการที่จำเลยงดเว้นการที่จักต้องกระทำเพื่อป้องกันผลนั้นได้แต่หากระทำไม่ จำเลยจึงมีความผิด,1,1,1,-1,1,1,0,0,1,-1,-1
22,5664/2534,2534,LB,1,"CC-288-00,CC-080-00,CC-059P2-00",จำเลยใช้อาวุธปืนยิงผู้เสียหายในระยะห่างเพียง 3 เมตร ถูกที่บริเวณเอวของผู้เสียหายอันเป็นอวัยวะสำคัญของร่างกาย ซึ่งหากรักษาไม่ทันท่วงทีอาจเป็นอันตรายถึงชีวิตได้,ถือได้ว่าจำเลยกระทำไปโดยเจตนาฆ่าผู้เสียหายแล้วหากเป็นเพียงการยิงขู่ จำเลยก็มีโอกาสที่จะยิงไปยังทิศทางอื่นที่มิใช่ทิศทางที่ผู้เสียหายยืนอยู่ เช่น ยิงขึ้นฟ้า เป็นต้น,1,1,1,1,-1,1,0,0,1,1,0
23,950/2552,2552,LB,1,"CC-288-00,CC-080-00,CC-059P2-00",กระสุนปืนที่จำเลยใช้ยิงผู้เสียหายไม่ได้บรรจุเม็ดตะกั่วบรรจุเฉพาะดินปืนอัดด้วยกระดาษเท่านั้น จำเลยทราบดีว่าไม่สามารถทำให้ผู้เสียหายถึงแก่ความตายหรือได้รับอันตรายแก่กาย ,การกระทำของจำเลยจึงถือไม่ได้ว่ามีเจตนาฆ่าผู้เสียหาย,1,1,0,0,-1,-1,-1,-1,0,-1,-1
24,223/2537,2537,LB,1,"CC-288-00,CC-080-00,CC-059P2-00",ที่เกิดเป็นเหตุการณ์คดีนี้เนื่องจากสาเหตุที่มีการสอบถามถึงเรื่องที่จำเลยด่าว่าบุตรสาว จ. เท่านั้น <discr>อันเป็นเหตุเล็กน้อยไม่น่าจะปองร้ายกันถึงชีวิต</discr> และได้ความจากคำเบิกความของ จ.ว่า จำเลยใช้อาวุธปืนยิงไปทาง ร. ในระยะห่างประมาณ 5 ถึง 6 วา<discr>หากจำเลยประสงค์จะปองร้ายจ.และร. ถึงชีวิต จำเลยคงเลือกยิงในตำแหน่งซึ่งอาจทำให้ถึงตายได้โดยไม่ยาก</discr> การที่จำเลยใช้อาวุธปืนยิง ร.ในระดับต่ำถูกบริเวณต้นขาและน่องซ้ายของร.<discr>ย่อมแสดงให้เห็นว่าจำเลยเจตนาให้ จ. และ ร. ได้รับอันตรายแก่กายเท่านั้น</discr>,จึงฟังได้เพียงว่า จำเลยทำร้ายร่างกาย ร. อันเป็นความผิดตาม ประมวลกฎหมายอาญา มาตรา 295,1,1,0,0,-1,-1,-1,-1,0,-1,-1
25,223/2537,2537,LB,2,"CC-295-00,CC-059P2-00",ที่เกิดเป็นเหตุการณ์คดีนี้เนื่องจากสาเหตุที่มีการสอบถามถึงเรื่องที่จำเลยด่าว่าบุตรสาว จ. เท่านั้น <discr>อันเป็นเหตุเล็กน้อยไม่น่าจะปองร้ายกันถึงชีวิต</discr> และได้ความจากคำเบิกความของ จ.ว่า จำเลยใช้อาวุธปืนยิงไปทาง ร. ในระยะห่างประมาณ 5 ถึง 6 วา<discr>หากจำเลยประสงค์จะปองร้ายจ.และร. ถึงชีวิต จำเลยคงเลือกยิงในตำแหน่งซึ่งอาจทำให้ถึงตายได้โดยไม่ยาก</discr> การที่จำเลยใช้อาวุธปืนยิง ร.ในระดับต่ำถูกบริเวณต้นขาและน่องซ้ายของร.<discr>ย่อมแสดงให้เห็นว่าจำเลยเจตนาให้ จ. และ ร. ได้รับอันตรายแก่กายเท่านั้น</discr>,จึงฟังได้เพียงว่า จำเลยทำร้ายร่างกาย ร. อันเป็นความผิดตาม ประมวลกฎหมายอาญา มาตรา 295,1,1,1,1,-1,1,0,0,1,0,-1
26,1006/2501,2501,LB,1,"CC-288-00,CC-080-00,CC-059P2-00",ยิงในระยะ 1 วา ถูกขาเหนือตาตุ่มกระดูกแตก ถ้าตั้งใจฆ่าก็คงยิงถูกที่สำคัญได้ แสดงว่าจำเลยไม่เจตนาฆ่า,เป็นความผิดฐานทำร้ายร่างกาย ไม่ใช่พยายามฆ่า,1,1,0,0,-1,-1,-1,-1,0,-1,-1
27,1006/2501,2501,LB,2,"CC-295-00,CC-059P2-00",ยิงในระยะ 1 วา ถูกขาเหนือตาตุ่มกระดูกแตก ถ้าตั้งใจฆ่าก็คงยิงถูกที่สำคัญได้ แสดงว่าจำเลยไม่เจตนาฆ่า,เป็นความผิดฐานทำร้ายร่างกาย ไม่ใช่พยายามฆ่า,1,1,1,1,-1,1,0,0,1,0,-1
28,870/2526,2526,LB,1,"CC-288-00,CC-080-00,CC-059P2-00",ผู้เสียหายกับจำเลยทะเลาะกัน ในที่สุดจำเลยชักปืนเล็งไปที่หน้าอกผู้เสียหายและขึ้นนกปืนจะยิงในระยะห่างประมาณ 1 เมตรเศษ สามีจำเลยเข้าจับมือกดลงต่ำ ปืนลั่นกระสุนถูกผู้อื่นที่เท้า ,ดังนี้ จำเลยมีความผิดฐานพยายามฆ่า,1,1,1,1,-1,1,0,0,1,1,0
29,138/2531,2531,LB,1,"CC-288-00,CC-080-00,CC-059P2-00",จำเลยใช้อาวุธปืนลูกซองสั้นซึ่งเป็นอาวุธที่ทำให้ถึงแก่ความตายได้ยิงผู้เสียหายในระยะกระชั้นชิด แม้กระสุนถูกขาผู้เสียหาย <discr>แต่ก็เนื่องจากผู้เสียหายระวังตัวอยู่ก่อนและหลบได้ทัน กระสุนจึงพลาดจากตัวไปถูกขา</discr>,เช่นนี้ แสดงว่าจำเลยมีเจตนาฆ่า,1,1,1,1,-1,1,0,0,1,1,0
30,234/2529,2529,LB,1,"CC-295-00,CC-059P2-00",จำเลยใช้ปืนยิงไปที่พื้นดินหนึ่งนัดในขณะที่ผู้เสียหายกำลังเดินไปหาจำเลยและอยู่ห่างจำเลยประมาณสองวา <discr>จำเลยย่อมเล็งเห็นผลแห่งการกระทำได้ว่ากระสุนปืนอาจถูกผู้เสียหายได้</discr> เมื่อกระสุนปืนถูกขาผู้เสียหายบาดเจ็บ,ต้องถือว่าจำเลยมีเจตนาทำร้ายผู้เสียหายหาใช่เป็นการยิงขู่ไม่ การกระทำของจำเลยดังกล่าวไม่เป็นการป้องกันโดยชอบเพราะขณะนั้นผู้เสียหายยังไม่สามารถจะทำร้ายจำเลยได้,1,1,1,1,-1,1,0,0,1,0,-1
